AssignmentName	CollectionName	StartTime
App_7-Zip_7-Zip_16.04_PKG_All_UApp_!AllUsers_Install	AllUsers	7/13/2017 9:20
App_AbbConsulting_DaCS_6.0_PKG_All_UApp_AbbConsulting_DaCS_6.0_PKG_All_Install	AbbConsulting_DaCS_6.0	12/27/2013 10:03
App_AccuRev_AccuRev_6.2.3_PKG_All_UApp_AccuRev_AccuRev_6.2.3_PKG_All_Install	AccuRev_AccuRev_6.2.3	7/8/2017 0:00
App_AccuRev_AccuRevRemediation_1.0_PKG_All_UApp_AccuRev_AccuRevRemediation_1.0_PKG_All_Install	AccuRev_AccuRevRemediation_1.0	8/10/2017 12:32
App_ActiveState_PYnumpyWin32-1.6.1_2.7_PKG_All_UApp_!SoftwareInstallers_Install	SoftwareInstallers	9/9/2013 20:26
App_ActiveState_PYnumpyWin32-1.6.1_2.7_PKG_All_UApp_ActiveState_Python_2.7.1_PKG_All_Install	ActiveState_Python_2.7.1	12/30/2013 17:47
App_ActiveState_PYSendKeys_0.3_PKG_All_UApp_ActiveState_Python_2.7.1_PKG_All_Install	ActiveState_Python_2.7.1	12/30/2013 17:45
App_ActiveState_Python_2.7.1_PKG_All_UApp_ActiveState_Python_2.7.1_PKG_All_Install	ActiveState_Python_2.7.1	12/30/2013 17:40
App_ActiveState_PYWin32-216_2.7_PKG_All_UApp_ActiveState_Python_2.7.1_PKG_All_Install	ActiveState_Python_2.7.1	12/30/2013 17:49
App_ActiveState_PYWinAuto_0.4.0_PKG_All_UApp_ActiveState_Python_2.7.1_PKG_All_Install	ActiveState_Python_2.7.1	12/30/2013 17:50
App_ActiveState_PYwmiWin-1.4.9_2.7_PKG_All_UApp_ActiveState_Python_2.7.1_PKG_All_Install	ActiveState_Python_2.7.1	12/30/2013 17:52
App_PulseSecure_PulseSecure_5.2.9_PKG_All_DAppWksPush_PulseSecure_PulseSecure_5.2.9_PKG_Win10_Prod_Install	PulseSecure_Win10_Prod	2/6/2018 2:00
App_PulseSecure_PulseSecure_5.2.9_PKG_All_DAppWksPush_PulseSecure_PulseSecure_5.2.9_PKG_Win10_TechPilot_Install	PulseSecure_Win10_TechPilot	1/23/2018 2:00
App_PulseSecure_PulseSecure_5.2.9_PKG_All_DAppWksPush_PulseSecure_PulseSecure_NA_PKG_ClientPilot_Install	PulseSecure_ClientPilot	2/16/2018 2:00
App_PulseSecure_PulseSecure_5.2.9_PKG_All_DAppWksPush_PulseSecure_PulseSecure_NA_PKG_Prod_Install	PulseSecure_Prod	2/16/2018 2:00
TSApp_McAfee_ENS_10.5.3_PKG_All_EXP_UrMom_User_Install	EXP_Vanbogk_User	1/5/2018 21:42
